* 통계표명 :,지가변동률_연도별,,,,,,,,,,,,,,,,,,,,,,,
,군지역,,-,-,-,-,-,-,-,-,-,-,-,-,1.28,0.966,1.535,2.079,2.337,4.021,3.704,3.14,2.772,2.792
,전주시,,0.38,-0.05,1.32,2.3,1.22,1.768,1.82,1.975,-0.019,0.011,0.671,0.965,1.637,1.261,1.856,3.276,2.81,3.929,3.967,3.062,2.759,2.878
,,완산구,0.24,-0.33,1.14,2.61,0.66,1.999,1.693,2.016,-0.023,0.021,0.854,1.339,1.917,1.26,1.889,3.824,2.955,3.544,3.739,2.996,2.789,2.884
,,덕진구,0.53,0.22,1.49,1.99,1.77,1.521,1.955,1.934,-0.014,-0.002,0.46,0.518,1.301,1.261,1.816,2.628,2.64,4.368,4.14,3.126,2.735,2.891
,군산시,,0.45,-0.31,-0.11,-0.03,0.35,0.424,0.6,1.376,15.211,-2.663,1.02,0.765,1.432,1.066,1.468,1.889,1.257,1.171,-1.922,0.298,0.814,1.93
,익산시,,1.09,-0.39,0.33,0.33,0.68,0.829,1.037,0.647,-0.023,-0.348,0.581,0.558,1.982,0.894,1.367,1.84,2.005,3.911,3.87,3.141,2.573,2.512
,이리시,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,정주시,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,정읍시,,1.29,-0.36,-0.23,-0.04,0.16,0.509,1.36,0.502,-0.011,0.009,0.411,0.299,1.166,1.007,1.482,2.313,2.012,3.497,3.034,2.828,2.631,2.572
,남원시,,2.19,0.25,0.33,-0.2,-0.11,0.036,-0.306,-0.112,-0.954,0.021,0.231,0.286,0.544,0.735,1.425,1.767,1.847,2.926,3.072,2.768,2.458,2.416
,김제시,,2.32,-0.23,-0.06,0.09,0.34,1.053,0.309,0.624,0.849,0.039,0.507,0.409,0.759,0.802,1.563,1.576,1.884,3.025,3.333,3.035,2.277,2.11
,완주군,,1.76,0.3,1.45,3.11,1.31,3.146,3.759,1.69,-0.148,0.055,0.519,1.382,2.309,1.12,1.816,2.515,3.073,4.856,4.075,3.446,3.16,3.225
,진안군,,2.39,-0.18,0.65,0.87,1.2,0.755,0.876,0.539,-0.176,0.011,0.174,0.24,0.646,0.75,1.609,1.396,1.594,3.211,3.199,2.958,2.398,2.46
,무주군,,1.14,-0.15,1.05,1.04,1.42,14.768,5.184,1.421,-0.056,0.005,0.154,0.571,0.639,0.686,1.107,1.692,1.545,3.44,3.187,2.822,2.47,2.497
,장수군,,2.99,0.28,0.52,0.82,0.96,1.596,1.338,0.926,-0.134,0.041,0.314,0.19,0.365,0.694,1.326,1.549,1.601,3.05,3.092,2.787,2.515,2.464
,임실군,,2.39,0.18,0.43,0.13,0.13,-0.012,0.634,0.37,-0.228,0.003,0.348,0.709,0.628,0.819,1.377,1.874,2.111,3.277,3.128,2.758,2.557,2.491
,남원군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,순창군,,1.63,-0.02,0.78,0.17,0.12,0.429,0.453,0.303,-0.005,0.03,0.244,0.366,0.588,0.622,1.557,1.888,2.077,3.481,3.215,2.958,2.481,2.347
,정읍군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,고창군,,1.91,-0.03,0.35,-0.19,0.13,0.154,0.188,0.6,-0.04,0.03,0.347,0.573,1.026,1.188,1.349,1.867,1.96,3.365,3.471,3.058,2.437,2.533
,부안군,,3.45,0.22,1.45,0.52,0.34,1.405,0.49,1.667,2.18,0.019,1.538,1.609,1.172,0.987,1.487,2.159,2.293,4.072,4.036,3.085,2.749,2.754
,김제군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,옥구군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,익산군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
전남,,,1.94,0.35,0.95,0.5,0.93,2.448,1.91,1.309,0.26,0.351,1.133,0.948,1.345,0.961,1.802,2.802,2.603,3.902,3.995,3.896,3.322,3.671
,시지역,,-,-,-,-,-,-,-,-,-,-,-,-,1.726,1.117,2.114,3.027,2.74,4.145,4.093,4.051,3.566,3.986
,군지역,,-,-,-,-,-,-,-,-,-,-,-,-,0.963,0.794,1.459,2.535,2.436,3.609,3.875,3.707,3.034,3.311
,(구)나주시,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,광산군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,목포시,,0.38,0.43,1.55,-0.38,0.26,0.41,0.265,0.08,-0.26,0.051,0.547,0.147,0.837,0.803,1.203,1.242,1.006,2.516,2.842,3.598,2.869,2.561
,여수시,,1.63,0.23,0.95,1.21,1.07,0.808,1.011,3.128,3.653,1.077,2.5,2.211,2.482,1.287,1.647,3.254,3.586,4.87,4.794,3.962,4.01,5.004
,순천시,,0.63,-0.21,0.74,0.71,1.4,0.053,1.025,0.897,-0.217,0.366,1.15,0.906,1.688,1.019,1.494,2.551,2.553,4.469,4.136,4.208,3.714,3.913
,나주시,,2.52,-0.02,-0.14,-0.21,0.15,11.215,9.865,2.034,1.254,0.324,0.59,0.538,1.23,1.008,4.456,5.329,3.072,4.928,4.875,4.889,3.675,3.533
,여천시,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,동광양시,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,광양시,,0.72,-0.22,2.2,0.8,0.91,2.794,1.444,0.922,-0.066,0.603,1.961,1.867,1.787,1.31,2.404,2.613,2.613,3.1,3.138,3.549,3.073,3.721
,담양군,,1.36,0.61,0.94,0.25,0.2,3.103,1.805,1.361,-0.769,0.12,0.644,0.464,0.946,0.998,1.477,3.172,3.129,5.154,5.879,4.729,3.932,4.137
,곡성군,,1.34,0.44,1.39,1.3,1.31,1.093,0.88,0.437,-1.045,0.085,0.491,0.49,0.837,0.832,1.247,2.757,2.969,3.922,3.434,3.071,2.562,2.787
,구례군,,1.02,-0.02,0.17,0.32,0.09,0.649,1.31,0.605,-1.002,0.209,0.769,1.108,0.99,0.66,1.31,5.106,2.86,4.673,4.055,3.665,2.959,3.331
,광양군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,여천군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,승주군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,고흥군,,3.11,1.16,0.48,0.05,0.28,0.442,0.215,0.356,-1.059,-0.163,0.774,1.406,0.788,0.723,1.11,2.424,2.658,4.14,3.608,3.198,2.723,3.337
,보성군,,1.94,0.05,0.44,0.4,0.35,0.544,0.692,0.8,-0.996,0.037,0.488,0.859,0.782,0.915,1.228,2.38,2.173,3.087,3.136,2.837,2.514,3.449
,화순군,,3,1.16,0.83,1.38,0.48,1.135,1.589,1.106,-1.012,0.052,0.595,0.474,0.886,0.793,1.543,2.763,2.846,3.884,4.637,4.906,3.502,3.696
,장흥군,,2.85,0.19,0.59,-0.25,0.25,0.499,0.508,0.528,-0.164,0.111,0.96,0.673,0.911,0.967,1.875,2.004,2.2,3.06,3.235,3.206,2.502,2.844
,강진군,,2.54,0.72,0.3,0.39,0.29,0.382,0.355,0.395,-0.314,0.07,0.781,0.499,0.919,0.826,1.628,1.932,2.255,3.374,3.137,3.111,2.602,2.799
,해남군,,1.81,-0.24,0.04,0.67,4.54,4.714,3.002,0.919,-0.302,0.201,0.778,1.032,1.129,0.948,1.294,1.803,2.299,2.943,3.237,3.132,2.77,3.115
,영암군,,2.25,0.74,0.16,-0.15,1.62,3.769,1.383,1.065,-0.909,0.17,1.009,0.456,1.211,0.637,1.27,2.063,1.72,2.129,3.136,3.114,2.448,2.805
,무안군,,8.48,2.3,3.55,0.57,1.06,8.294,4.56,2.918,0.659,0.403,0.532,0.276,1.081,0.687,1.302,2.308,2.403,3.443,3.465,3.504,3.046,3.049
,나주군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,함평군,,2.64,1.21,1.08,1.01,0.49,0.49,0.989,0.524,-0.177,0.113,0.676,0.324,0.69,0.548,1.617,2.29,2.01,3.588,3.602,3.509,3.395,3.367
,영광군,,1.36,-0.44,0.92,-0.57,0.22,0.332,0.192,0.127,-0.969,0.073,0.541,0.64,0.654,0.67,1.622,2.429,1.887,4.121,3.748,3.307,2.728,2.76
,장성군,,2.51,0.41,0.43,0.29,0.27,3.485,0.563,1.095,-0.504,0.095,0.859,0.684,0.898,0.651,1.887,3.638,2.813,5.002,5.502,4.924,3.639,4.23
,완도군,,2.39,0.83,0.27,0.73,0.93,0.625,0.914,1.131,-0.996,-0.139,0.768,0.991,0.926,0.741,1.756,2.301,1.953,3.221,3.648,3.33,3.061,3.199
,진도군,,1.86,-0.06,0.13,0.39,0.41,2.487,1.22,0.103,-1.063,-0.16,0.487,0.416,0.634,0.61,1.473,2.503,2.743,3.182,3.323,3.307,2.489,2.423
,신안군,,4.08,0.93,1.48,0.97,0.91,1.006,2.309,1.669,-0.156,0.778,2.296,0.891,1.124,1.349,1.965,2.875,2.896,3.477,3.874,4.823,3.652,3.74
경북,,,0.72,0.51,2.06,0.15,2.11,2.194,2.517,1.683,-0.133,0.484,1.144,1.112,1.397,1.49,2.417,2.651,2.542,3.09,2.86,2.38,1.85,2.29
,시지역,,-,-,-,-,-,-,-,-,-,-,-,-,1.443,1.48,2.42,2.643,2.555,2.905,2.734,2.219,1.709,2.204
,군지역,,-,-,-,-,-,-,-,-,-,-,-,-,1.23,1.528,2.407,2.676,2.49,3.706,3.276,2.9,2.3,2.551
,대구시,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,포항시,,0.69,0.5,1.68,0.1,3.54,1.483,2.121,1.506,0.097,0.776,1.488,1.217,1.646,1.606,2.115,2.315,2.327,2.047,2.042,2.363,2.076,2.296
,,남구,0.46,0.59,1.9,0.1,2.18,1.227,2.694,1.055,0.32,0.553,1.388,1.198,1.445,1.623,2.015,2.191,2.021,2.2,2.482,2.605,2.114,2.252
,,북구,0.95,0.39,1.41,0.11,5.15,1.81,1.391,2.099,-0.138,1.011,1.593,1.24,1.85,1.589,2.209,2.428,2.608,1.918,1.658,2.149,2.046,2.335
,경주시,,0.48,0.45,1.81,0.14,1.5,2.255,4.687,2.362,-0.781,0.546,1.301,1.142,1.318,1.469,2.371,2.777,2.143,2.479,2.692,2.457,2.019,2.132
,김천시,,0.61,0.73,1.56,-0.32,4.26,5.688,8.032,2.276,-0.436,0.408,0.89,0.953,1.193,1.073,1.932,2.718,2.108,2.307,2.287,1.096,0.937,1.904
,안동시,,1.24,0.77,2.16,0.01,1.36,0.415,0.303,0.764,1.967,0.924,1.055,1.765,2.041,2.116,3.473,3.165,3.142,3.179,3.119,2.304,1.259,1.795
,구미시,,0.78,0.46,4.28,1.22,2,3.516,2.492,1.782,-0.025,0.437,1.011,1.21,1.455,1.468,2.257,2.407,2.44,2.798,1.947,0.483,0.68,1.834
,영주시,,0.34,0.48,0.82,-0.68,0.99,0.402,0.565,0.415,-0.358,0.382,0.908,0.808,1.045,1.063,2.147,2.518,2.336,2.654,3.158,3.001,2.017,2.099
,영천시,,0.67,0.5,1.9,0.22,1.74,1.827,2.07,1.592,-0.093,0.402,1.005,1.043,1.51,1.916,3.351,3.101,3.258,3.654,2.959,2.9,1.627,2.163
,상주시,,0.43,0.15,0.91,-0.09,0.92,2.069,1.709,1.49,-0.109,0.546,0.843,0.84,1.05,1.223,2.138,2.348,2.085,3.262,3.068,2.797,1.592,1.939
,점촌시,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,문경시,,0.69,0.1,1.06,-0.75,0.66,0.954,1.167,1.248,-0.222,0.264,0.783,0.851,1.224,1.085,2.61,2.658,2.622,2.812,3.453,2.692,1.704,1.704
,경산시,,0.41,0.59,2,0.51,1.47,3.167,1.638,2.376,-0.281,0.009,1.511,1.162,1.317,1.268,2.771,3.026,3.581,5.014,4.635,3.608,2.607,3.187
,달성군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,군위군,,0.7,1.08,3.15,0.36,1.56,2.8,1.265,0.831,-0.058,0.72,0.961,0.876,0.936,1.008,2.077,2.351,2.523,4.488,3.631,3.514,5,6.778
,의성군,,0.75,0.47,1.33,-0.49,1.14,0.296,0.939,0.563,-0.762,0.412,0.862,0.73,0.884,1.12,2.178,2.402,2.296,3.722,3.24,3.276,3.975,4.463
,안동군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,청송군,,0.71,0.58,2.94,-1.12,0.92,0.661,0.816,0.72,-0.905,0.536,0.856,0.698,0.848,0.826,2.104,2.437,2.346,3.686,3.526,2.47,1.662,1.757
,영양군,,0.67,0.86,2.23,-1.41,0.24,0.178,0.184,0.26,-0.283,0.705,0.819,0.72,0.711,0.77,2.566,2.013,2.141,2.741,2.7,2.453,1.5,1.536
,영덕군,,0.81,1.41,2.3,0.04,1.3,3.368,1.763,0.38,-1.057,0.411,0.881,0.772,0.956,1.735,2.146,3.172,3.436,4.6,3.108,2.73,2.336,2.313
,영일군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,월성군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,경주군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,영천군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,경산군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,청도군,,0.7,0.36,1.93,0.59,2.3,2.49,2.47,1.536,-0.185,0.392,0.901,0.969,1.16,1.683,2.191,1.862,2.169,3.395,3.103,2.4,1.517,2.461
,고령군,,0.32,0.47,2.19,-0.54,2.87,2.441,1.782,1.667,-0.99,0.384,0.906,0.978,0.99,1.231,2.518,3.087,2.339,3.628,3.5,2.658,2.415,2.368
,성주군,,1.18,0.38,2.1,-0.45,2.18,2.556,1.836,1.362,-0.405,0.186,0.938,0.989,1.393,1.603,2.746,3.115,2.026,3.946,3.407,3.174,2.338,2.443
,칠곡군,,1.48,0.49,1.66,0.19,2.27,2.325,4.539,3.309,-0.122,0.378,1.007,1.014,1.648,1.586,2.248,2.442,2.38,3.658,3.296,3.133,1.928,1.836
,금릉군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,선산군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,상주군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,문경군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,예천군,,1.2,0.31,1.94,-0.2,0.64,0.915,0.662,0.615,1.729,0.58,0.989,1.553,1.844,3.075,4.173,4.557,3.474,3.893,3.194,2.326,1.365,1.588
,영풍군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,봉화군,,1.46,1.09,3.26,-0.38,0.65,1.098,2.789,0.476,-1.007,0.784,0.886,0.742,0.731,1.331,1.854,2.272,2.511,2.6,2.808,2.703,1.695,1.688
,울진군,,1.28,0.35,1.55,0.46,1.54,0.992,0.611,0.508,-0.414,0.072,0.715,0.762,0.963,1.387,2.063,2.031,2.567,3.215,3.001,2.524,2.053,2.025
,울릉군,,1.16,0.5,1.49,0.66,2.75,1.355,1.873,2.766,2.25,0.809,1.178,0.771,1.11,1.479,2.091,2.496,3.618,3.895,4.382,6.072,5.256,5.321
경남,,,1.15,0.94,2.22,1.38,3.09,2.809,2.561,2.218,0.105,0.44,1.288,1.627,1.669,1.491,1.974,2.232,2.359,3.094,2.204,0.557,0.719,2.027
,시지역,,-,-,-,-,-,-,-,-,-,-,-,-,1.76,1.591,2.037,2.299,2.377,3.116,2.09,0.322,0.581,2.009
,군지역,,-,-,-,-,-,-,-,-,-,-,-,-,1.189,0.958,1.643,1.869,2.262,2.988,2.795,1.752,1.416,2.119
,(구)창원시,,1.34,1.06,2.62,0.73,2.35,1.424,1.483,3.191,-0.091,0.454,-,-,-,-,-,-,-,-,-,-,-,-
,창원시,,-,-,-,-,-,-,-,-,-,-,1.178,1.915,1.658,1.639,1.941,2.109,2.423,2.807,0.188,-1.45,0.01,2.266
,,의창구,-,-,-,-,-,-,-,-,-,-,1.38,2.35,1.995,1.996,2.512,2.52,3.281,3.287,1.515,-1.903,-0.084,2.285
,,성산구,-,-,-,-,-,-,-,-,-,-,1.19,2.421,1.777,1.757,1.442,1.875,1.831,1.964,-1.174,-1.985,-0.145,2.442
,,마산합포구,-,-,-,-,-,-,-,-,-,-,0.971,1.093,0.958,1.395,1.924,1.914,2.351,2.815,0.758,-0.307,0.284,1.964
,,마산회원구,-,-,-,-,-,-,-,-,-,-,0.83,1.021,1.469,1.272,1.716,2.176,2.424,3.149,0.594,-0.678,0.328,2.1
,,진해구,-,-,-,-,-,-,-,-,-,-,1.367,1.963,1.787,1.42,1.973,1.954,2.009,3.076,-0.344,-1.29,-0.06,2.2
,울산시,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,울산시중구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,울산시남구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,울산시동구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,울산시울주구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)마산시,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,(구)마산시합포구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,(구)마산시회원구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,마산시,,1.1,0.8,2.24,1.57,2.05,1.362,0.92,0.681,-0.559,0.013,-,-,-,-,-,-,-,-,-,-,-,-
,진주시,,1.3,1.2,1.83,1.31,2.65,4.144,3.737,2.59,-0.074,0.109,1.131,0.768,1.434,1.376,2.228,2.505,2.751,3.669,3.303,1.485,1.204,1.747
,진해시,,0.74,0.83,1.53,1.11,6,4.756,2.932,2.197,-0.117,0.625,-,-,-,-,-,-,-,-,-,-,-,-
,충무시,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,통영시,,0.16,0.52,1.87,0.93,1.11,1.795,1.441,1.054,-0.401,0.751,1.17,1.264,1.373,1.481,1.71,2.067,1.018,2.387,2.309,-0.359,-0.022,1.854
,삼천포시,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,사천시,,3.87,1.42,3.22,1.28,0.65,2.468,0.989,2.023,2.984,0.759,1.297,1.19,0.76,0.93,1.35,2.306,3.498,4.038,4.741,2.211,1.276,1.61
,김해시,,0.87,0.71,2.7,2.97,4.65,3.837,4.082,2.553,-0.037,0.354,1.273,1.813,2.291,1.725,2.17,2.598,3.027,3.737,3.602,1.244,0.87,2.35
,밀양시,,1.75,1.12,2.24,0.58,5.56,2.871,2.208,2.191,-0.378,0.203,0.956,1.164,1.147,1.302,1.538,2.086,2.07,4.054,5.327,3.404,1.573,1.562
,장승포시,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,거제시,,1.22,1,2.51,2.93,5.07,5.487,5.543,4.204,2.71,0.506,1.99,2.351,2.006,1.564,2.464,2.194,-0.481,0.333,-0.647,-1.101,0.048,1.189
,양산시,,-0.01,1.09,3.32,1,5.71,2.976,3.872,2.709,-0.25,0.915,1.593,1.802,2.112,1.851,2.229,2.469,3.067,4.102,3.717,2.127,1.016,1.944
,진양군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,의령군,,1.14,0.79,1.3,1.14,1.07,1.718,1.548,1.438,-0.009,0.205,0.632,0.742,0.877,0.901,1.209,1.616,1.923,2.543,2.16,0.915,0.755,2.134
,함안군,,1.37,0.75,1.2,0.66,1.06,3.418,2.571,1.555,-0.055,0.68,2.284,2.724,1.574,1.106,1.831,2.128,2.414,2.964,2.408,1.78,1.733,2.132
,창녕군,,2.46,0.97,0.66,0.75,1.88,2.43,1.507,0.896,-0.397,0.392,1.07,0.949,1.027,1.009,1.621,2.062,3.063,3.342,3.498,2.098,1.846,2.409
,밀양군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,양산군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,울주군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,울산군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,김해군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,의창군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,창원군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,통영군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,거제군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,고성군,,1.1,0.82,1.33,0.58,1,2.3,2.43,3.069,2.256,1.382,1.836,1.456,1.303,1.027,2.265,2.005,1.87,2.777,2.166,1.275,1.106,2.04
,사천군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,남해군,,0.99,0.59,0.73,1.33,0.99,4.224,4.079,1.521,-0.143,0.465,0.815,1.252,1.627,0.699,2.406,2.214,2.448,3.635,4.513,2.755,2.024,3.539
,하동군,,1.24,0.76,0.95,1.64,1.88,2.187,0.74,1.596,-0.021,0.655,1.489,1.426,1.212,0.851,1.58,1.518,1.971,2.076,2.016,1.082,0.635,1.389
,산청군,,0.75,0.52,0.66,0.81,1.45,1.495,0.934,1.083,-0.123,0.32,0.704,0.67,0.955,0.812,1.175,1.449,2.087,2.977,2.924,1.852,1.219,1.705
,함양군,,0.67,0.64,0.63,0.81,1.15,1.631,0.856,0.479,0.062,0.326,0.598,0.778,0.839,0.966,1.282,1.823,1.985,3.276,2.87,1.476,0.949,1.691
,거창군,,1.48,0.71,0.76,0.49,0.79,0.867,0.638,0.236,-0.236,0.161,0.56,0.703,0.89,1.055,1.176,1.525,1.89,2.803,2.701,2.063,1.401,1.95
,합천군,,1.36,0.69,1.82,0.55,1.3,2.981,0.542,0.388,-0.134,0.12,0.601,0.613,0.952,0.808,1.023,1.579,2.234,3.526,3.259,2.016,1.621,2.052
제주,,,2.18,3.13,6.01,1.25,1.96,2.122,2.104,1.672,-0.02,0.197,1.073,0.918,1.25,1.424,3.728,7.568,8.332,5.457,4.989,-1.767,-1.933,1.848
,시지역,,-,-,-,-,-,-,-,-,-,-,-,-,1.25,1.424,3.728,7.568,8.332,5.457,4.989,-1.767,-1.933,1.848
,제주시,,-,-,-,-,-,-,2.242,1.606,-0.022,0.192,1.017,0.885,1.283,1.36,3.27,7.317,8.05,5.406,4.923,-1.74,-1.724,2.199
,서귀포시,,-,-,-,-,-,-,1.868,1.791,-0.016,0.2,1.171,0.978,1.199,1.53,4.478,7.972,8.787,5.574,5.121,-1.811,-2.261,1.304
,북제주군,,-0.92,-0.34,10.87,2.64,2.41,1.979,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,남제주군,,-1.33,-0.61,6.53,2.28,4.46,3.759,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)제주시,,6.1,7.34,5.1,0.75,1,0.91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)서귀포시,,-0.68,-0.5,3.24,0.17,1.61,3.578,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
